page,page_title,active_visitors
tsa.gov/travel/security-screening/identification,Identification | Transportation Security Administration,17
wrh.noaa.gov/total_forecast/getprod.php?prod=xxxafdmtr&wfo=mtr,National Weather Service - NWS San Francisco/Monterey Bay Area,17
wrh.noaa.gov/zoa/mwmap3.php?map=usa,CWSU National TAF METAR maps - NOAA NWS,17
apod.nasa.gov/apod/archivepix.html,Astronomy Picture of the Day Archive,16
bls.gov/,U.S. Bureau of Labor Statistics,16
ceac.state.gov/ceacstattracker/status.aspx?app=iv,CEAC,16
ceac.state.gov/genniv/general/complete/complete_securityandbackground4.aspx?node=securityandbackground4,Nonimmigrant Visa - Security and Background: Part 4,16
dea.gov/druginfo/ds.shtml,DEA / Drug Scheduling,16
drugabuse.gov/publications/drugfacts/marijuana,DrugFacts: Marijuana | National Institute on Drug Abuse (NIDA),16
drugabuse.gov/publications/drugfacts/mdma-ecstasymolly,DrugFacts: MDMA (Ecstasy/Molly) | National Institute on Drug Abuse (NIDA),16
eauth.va.gov/wssweb/wss-common-webparts/mvc/viewmydashboard,Your Dashboard - eBenefits,16
foodsafety.gov/keep/charts/storagetimes.html,Storage Times for the Refrigerator and Freezer | FoodSafety.gov,16
goes.noaa.gov/gssloops/wcir.html,West CONUS: Infrared Loop - NOAA GOES Geostationary Satellite Server,16
idcfars.bls.gov/ars/authentication/logout,Annual Refiling Survey - Login Page,16
irs.gov/for-tax-pros,Tax Professionals,16
irs.gov/help-resources/telephone-assistance,Let Us Help You,16
irs.gov/individuals/tax-return-transcript-types-and-ways-to-order-them,Transcript Types and Ways to Order Them,16
medlineplus.gov/spanish/ency/article/000252.htm,Gastroenteritis viral (gripe estomacal): MedlinePlus enciclopedia médica,16
medlineplus.gov/spanish/ency/article/001504.htm,Quistes ováricos: MedlinePlus enciclopedia médica,16
navy.mil/,Navy.mil The Official Website of the United States Navy: Home Page,16
nces.ed.gov/nceskids/createagraph/,Create A Graph,16
nimh.nih.gov/health/topics/bipolar-disorder/index.shtml,NIMH » Bipolar Disorder,16
nimh.nih.gov/health/topics/post-traumatic-stress-disorder-ptsd/index.shtml,NIMH » Post-Traumatic Stress Disorder,16
nps.gov/yose/planyourvisit/yv.htm,Yosemite Valley - Yosemite National Park (U.S. National Park Service),16
passportstatus.state.gov/opss/opss_status_d.asp,U.S. Passport Application Status,16
petitions.whitehouse.gov/petition/ensure-all-civilians-medical-personnel-and-rescue-workers-safe-passage-out-aleppo,"Ensure all civilians, medical personnel and rescue workers safe passage out of Aleppo | We the People: Your Voice in Our Government",16
pptform.state.gov/address,Passport Application System,16
pptform.state.gov/portal,Passport Application System,16
sba.gov/starting-business/how-start-business/10-steps-starting-business,Follow These 10 Steps to Starting a Business | The U.S. Small Business Administration | SBA.gov,16
spc.noaa.gov/products/,Storm Prediction Center Forecast Products,16
studentaid.ed.gov/sa/types/grants-scholarships/pell,Federal Pell Grants | Federal Student Aid,16
therealcost.betobaccofree.hhs.gov/hacked_001b.html?campaign=gm,"Don't Get Hacked by Cigarettes | The Real Cost",16
uscis.gov/citizenship/teachers/educational-products/100-civics-questions-and-answers-mp3-audio-english-version,100 Civics Questions and Answers with MP3 Audio (English version) | USCIS,16
uscis.gov/i-765,Application for Employment Authorization | USCIS,16
uscis.gov/i-90,Application to Replace Permanent Resident Card | USCIS,16
uscis.gov/news,News | USCIS,16
usps.com/ship/online-shipping.htm,Print Shipping Labels Online | USPS,16
weather.gov/fsd/,"Sioux Falls, SD",16
weather.gov/satellite,Satellite Images,16
wrh.noaa.gov/byz/,National Weather Service - NWS Billings,16
wrh.noaa.gov/pih/,National Weather Service - NWS Pocatello,16
wrh.noaa.gov/zoa/mobile/zoa2.htm,CWSU Aviation Mobile,16
accessdata.fda.gov/scripts/cder/daf/index.cfm?event=basicsearch.process,Drugs@FDA: FDA Approved Drug Products,15
accessdata.fda.gov/scripts/cder/ob/search_product.cfm,Orange Book: Approved Drug Products with Therapeutic Equivalence Evaluations,15
benefits.va.gov/gibill/,Education and Training Home,15
cdc.gov/std/gonorrhea/stdfact-gonorrhea.htm,STD Facts - Gonorrhea,15
ceac.state.gov/genniv/general/complete/complete_exchangevisitoraddcontact.aspx?node=exchangevisitor2,Nonimmigrant Visa - Additional Point of Contact Information,15
ceac.state.gov/genniv/general/complete/complete_securityandbackground3.aspx?node=securityandbackground3,Nonimmigrant Visa - Security and Background: Part 3,15
census.gov/quickfacts/,UNITED STATES QuickFacts from the US Census Bureau,15
choosemyplate.gov/tools-supertracker,SuperTracker | Choose MyPlate,15
eddmr-dev.usps.com/eddm2/customer/routesearch.action,USPS.com® - Every Door Direct Mail,15
egov.uscis.gov/casestatus/displaylogon.do,myUSCIS - Login,15
egov.uscis.gov/casestatus/landing.do,myUSCIS - Busque el Estado de Caso,15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.02°N and Longitude 123.09°W (Elev. 600 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.95°N and Longitude 93.1°W (Elev. 810 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.79°N and Longitude 108.5°W (Elev. 3199 ft),15
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.87°N and Longitude 114°W (Elev. 3201 ft),15
gsaauctions.gov/gsaauctions/aucindx/,"GSA Auctions, General Services Administration, Government Site for Auctions",15
gsaauctions.gov/gsaauctions/gsaauctions/,"GSA Auctions, General Services Administration, Government Site for Auctions",15
medlineplus.gov/eczema.html,Eczema: MedlinePlus,15
medlineplus.gov/spanish/ency/article/000292.htm,Hemorroides: MedlinePlus enciclopedia médica,15
medlineplus.gov/spanish/ency/article/000369.htm,Síndrome del ovario poliquístico: MedlinePlus enciclopedia médica,15
medlineplus.gov/spanish/ency/article/001299.htm,Leucemia: MedlinePlus enciclopedia médica,15
nimh.nih.gov/health/topics/obsessive-compulsive-disorder-ocd/index.shtml,NIMH » Obsessive-Compulsive Disorder,15
ods.od.nih.gov/factsheets/selenium-healthprofessional/,Dietary Supplement Fact Sheet: Selenium — Health Professional Fact Sheet,15
poboxes.usps.com/poboxonline/search/landingpage.do,USPS - Welcome to PO Boxes Online,15
reg.usps.com/entreg/loginaction_input,USPS.com® - Sign In,15
spc.noaa.gov/m/,Storm Prediction Center,15
travel.state.gov/content/passports/en/passports/under-16.html,Children Under 16,15
usajobs.gov/applicant/profiledashboard/home?c=application-active,USAJOBS - Profile Dashboard,15
uscis.gov/i-864,Affidavit of Support Under Section 213A of the INA | USCIS,15
uscis.gov/i-9,Employment Eligibility Verification | USCIS,15
usps.com/help/missing-mail.htm,Missing Mail | USPS,15
usps.com/international/mail-shipping-services.htm,International Mail Services | USPS,15
usps.com/ship/preparing-domestic-shipments.htm,Preparing Shipments | USPS,15
usps.com/text-tracking/welcome.htm,Text Tracking FAQs | USPS,15
weather.gov/dmx/,"Des Moines, IA",15
weather.gov/dmx/dsswinter,Decision Support - Winter Weather,15
weather.gov/oax/,"Omaha/Valley, NE",15
weather.gov/riw/,Western and Central Wyoming,15
wrh.noaa.gov/slc/,National Weather Service - NWS Salt Lake City,15
aids.gov/hiv-aids-basics/hiv-aids-101/how-you-get-hiv-aids/,How Do You Get HIV or AIDS?,14
catalog.usmint.gov/on/demandware.store/sites-usm-site/default/cart-show,The United States Mint Cart,14
cdc.gov/spanish/especialescdc/sintomastuberculosis/,Enfermedad de tuberculosis (TB): Síntomas y factores de riesgo - Especiales CDC - CDC en Español,14
cdc.gov/std/spanish/vph/stdfact-hpv-s.htm,Infección genital por VPH - Enfermedades de transmisión sexual,14
data.bls.gov/search/query/results?cx=013738036195919377644:6ih0hfrgl50,BLS Search Results,14
dhs.gov/,Homeland Security |,14
earthquake.usgs.gov/,USGS Earthquake Hazards Program,14
ed.gov/,Home | U.S. Department of Education,14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 30.27°N and Longitude 97.74°W (Elev. 509 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.77°N and Longitude 122.41°W (Elev. 131 ft),14
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 48.76°N and Longitude 122.48°W (Elev. 30 ft),14
ftc.gov/,"Federal Trade Commission | Protecting America's Consumers",14
goes.noaa.gov/wcir4.html,"Western U.S. Infrared, Enhancement 4 - NOAA GOES Geostationary Satellite Server",14
gsaauctions.gov/gsaauctions/aucitsrh/,"GSA Auctions, General Services Administration, Government Site for Auctions",14
mars.nasa.gov/mer/gallery/all/opportunity.html,Mars Exploration Rover Mission: Multimedia: All Raw Images: Opportunity,14
medlineplus.gov/,MedlinePlus - Health Information from the National Library of Medicine,14
medlineplus.gov/spanish/chlamydiainfections.html,Infecciones por clamidia | Síntomas | Tratamiento | MedlinePlus en español,14
medlineplus.gov/spanish/druginfo/meds/a605045-es.html,Pregabalina: MedlinePlus medicinas,14
medlineplus.gov/spanish/druginfo/meds/a685001-es.html,Amoxicilina: MedlinePlus medicinas,14
medlineplus.gov/spanish/ency/article/001511.htm,Candidosis vaginal: MedlinePlus enciclopedia médica,14
medlineplus.gov/spanish/ency/article/003130.htm,Heces con sangre o alquitranosas: MedlinePlus enciclopedia médica,14
my.uscis.gov/en/prep/test/civics/view,USCIS - Test Results,14
my.uscis.gov/findadoctor,USCIS - Find a Doctor,14
nimh.nih.gov/health/topics/attention-deficit-hyperactivity-disorder-adhd/index.shtml,NIMH » Attention Deficit Hyperactivity Disorder,14
nlm.nih.gov/,National Library of Medicine - National Institutes of Health,14
pages.nist.gov/800-63-3/sp800-63b.html,DRAFT NIST Special Publication 800-63B,14
pptform.state.gov/fees,Passport Application System,14
reg.usps.com/entreg/secure/registrationsuccessaction_input,USPS.com® - Registration Success,14
reg.usps.com/login?appurl=https://reg.usps.com//preferences,USPS.com® - Sign In,14
spc.noaa.gov/products/outlook/day1otlk.html,"Storm Prediction Center Dec 15, 2016 0100 UTC Day 1 Convective Outlook",14
store.usps.com/store/browse/subcategory.jsp?categoryid=flat-rate-shipping,Flat Rate,14
therealcost.betobaccofree.hhs.gov/hacked_001d.html?campaign=gm,"Don't Get Hacked by Cigarettes | The Real Cost",14
travel.state.gov/content/passports/en/passports/information/feecalculator.html,Fee Calculator,14
travel.state.gov/content/visas/en/forms/ds-160--online-nonimmigrant-visa-application.html,DS-160: Online Nonimmigrant Visa Application,14
usajobs.gov/account/forgotpassword,USAJOBS - Account Verification,14
usajobs.gov/applicant/profiledashboard/home?c=application,USAJOBS - Profile Dashboard,14
uscis.gov/greencard,Green Card | USCIS,14
usda.gov/wps/portal/usda/usdamobile,U.S. Department of Agriculture,14
usps.com/help/claims.htm,File a Claim | USPS,14
usps.com/priority-mail/map/,USPS - Priority Mail Delivery Map,14
usps.com/ship/priority-mail-express.htm,Priority Mail Express | USPS,14
whitehouse.gov/1600/legislative-branch,The Legislative Branch | whitehouse.gov,14
archives.gov/veterans/military-service-records,"Request Your Military Service Records Online, by Mail, or by Fax | National Archives",13
benefits.va.gov/benefits/,Veterans Benefits Administration Home,13
catalog.usmint.gov/mercury-dime-2016-centennial-gold-coin-16xb.html?cgid=gold-coins,Mercury Dime 2016 Centennial Gold Coin - US Mint,13
cdc.gov/co/faqs.htm,CDC - Carbon Monoxide Poisoning - Frequently Asked Questions,13
ceac.state.gov/ctrac/invoice/signon.aspx,Sign In Page,13
census.gov/popclock/,Population Clock,13
climate.nasa.gov/effects/,Climate Change: Vital Signs of the Planet: Effects,13
climate.nasa.gov/scientific-consensus/,Climate Change: Vital Signs of the Planet: Scientific Consensus,13
complaints.donotcall.gov/complaint/complaintcheck.aspx,National Do Not Call Registry,13
dol.gov/,United States Department of Labor,13
donotcall.gov/register/reg.aspx,National Do Not Call Registry,13
fns.usda.gov/snap/eligibility,Eligibility | Food and Nutrition Service,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.86°N and Longitude 87.65°W,13
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.68°N and Longitude 111.05°W (Elev. 4774 ft),13
forecast.weather.gov/mapclick.php,Zone Area Forecast for Anchorage,13
goes.noaa.gov/dml/west/nhem/weus/rb.html,"Western U.S., Rainbow Loop: GOES West",13
grc.nasa.gov/www/k-12/airplane/newton.html,"Newton's Laws of Motion",13
holdmail.usps.com/holdmail/home.jsp,USPS.com - Hold Mail Service,13
irs.gov/tax-professionals/ptin-requirements-for-tax-return-preparers,PTIN Requirements for Tax Return Preparers,13
mars.nasa.gov/mer/gallery/all/opportunity_n4582.html,Mars Exploration Rover Mission: Multimedia: All Raw Images: Opportunity: Navigation Camera: Sol 4582,13
medlineplus.gov/spanish/druginfo/meds/a685017-es.html,Dicloxacilina: MedlinePlus medicinas,13
medlineplus.gov/spanish/druginfo/meds/a685032-es.html,Inyección de ceftriaxona: MedlinePlus medicinas,13
medlineplus.gov/spanish/druginfo/meds/a697037-es.html,Azitromicina: MedlinePlus medicinas,13
medlineplus.gov/spanish/ency/article/000256.htm,Apendicitis : MedlinePlus enciclopedia médica,13
medlineplus.gov/spanish/ency/article/001432.htm,Trastornos asociados con el vértigo: MedlinePlus enciclopedia médica,13
medlineplus.gov/spanish/ency/article/003104.htm,"Hinchazón de tobillos, pies y piernas: MedlinePlus enciclopedia médica",13
my.uscis.gov/en/appointment/save_time,Find a Field Office: Customer Information,13
nasa.gov/multimedia/imagegallery/iotd.html,NASA Image of the Day | NASA,13
nasa.gov/multimedia/nasatv/iss_ustream.html,International Space Station on UStream | NASA,13
nsopw.gov/en-us/search/results,Search Results,13
peacecorps.gov/apply/,Apply,13
ssa.gov/forms/apply-for-benefits.html,Apply for Social Security Benefits,13
state.gov/misc/list/,A-Z List of Country and Other Area Pages,13
store.usps.com/store/browse/category.jsp?categoryid=shipping-supplies,Shipping Supplies,13
studentaid.ed.gov/sa/resources/loan-grant-fact-sheets,Loan and Grant Fact Sheets | Federal Student Aid,13
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/step_2_pay_fees.html,Pay Fees,13
travel.state.gov/content/visas/en/immigrate/immigrant-process/documents/step_4_collect_financial_documents.html,Collect Financial Documents,13
usajobs.gov/applicant/profiledashboard/home/?c=saved-job,USAJOBS - Profile Dashboard,13
uscis.gov/es,Espanol Homepage | USCIS,13
uscis.gov/i-131,Application for Travel Document | USCIS,13
whitehouse.gov/1600/judicial-branch,The Judicial Branch | whitehouse.gov,13
whitehouse.gov/blog/2016/12/12/3-letters-explain-why-president-obama-signing-cures-act,3 Letters That Explain Why President Obama Is Signing the Cures Act | whitehouse.gov,13
whitehouse.gov/contact/presidential-greetings-request,Request a Presidential Greeting | The White House,13
womenshealth.gov/publications/our-publications/fact-sheet/menstruation.html,Menstruation and the menstrual cycle fact sheet | womenshealth.gov,13
careers.state.gov/work/opportunities/vacancy-announcements/sa,Diplomatic Security Special Agent - U.S. Department of State,12
cdc.gov/features/strepthroat/,Worried your sore throat may be strep? | Features | CDC,12
cdc.gov/healthyweight/assessing/bmi/adult_bmi/english_bmi_calculator/bmi_calculator.html,Adult BMI Calculator | Healthy Weight | CDC,12
cdc.gov/hepatitis/hcv/cfaq.htm,Hepatitis C FAQs for the Public | Division of Viral Hepatitis | CDC,12
cdc.gov/std/herpes/stdfact-herpes-detailed.htm,STD Facts - Genital Herpes (Detailed version),12
cdc.gov/std/spanish/sifilis/stdfact-syphilis-s.htm,Sífilis - Enfermedades de transmisión sexual,12
cdc.gov/zika/geo/active-countries.html,Countries & Territories with Active Local Zika Virus Transmission | Zika virus | CDC,12
defense.gov/,United States Department of Defense,12
eddm.usps.com/eddm/customer/routesearch.action,USPS.com® - Every Door Direct Mail,12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 32.72°N and Longitude 117.15°W (Elev. 118 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 37.27°N and Longitude 107.88°W (Elev. 6598 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.58°N and Longitude 111.61°W (Elev. 9442 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 41.84°N and Longitude 87.68°W,12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.07°N and Longitude 89.4°W (Elev. 879 ft),12
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.73°N and Longitude 116.99°W (Elev. 2598 ft),12
health.gov/,Home of the Office of Health Promotion and Disease Prevention - health.gov,12
irs.gov/individuals/irs-withholding-calculator,IRS Withholding Calculator,12
medlineplus.gov/spanish/druginfo/meds/a693050-es.html,Omeprazol: MedlinePlus medicinas,12
medlineplus.gov/spanish/ency/article/000521.htm,Infección urinaria en adultos: MedlinePlus enciclopedia médica,12
medlineplus.gov/spanish/hpv.html,Virus del papiloma humano: MedlinePlus en español,12
mobile.weather.gov/index.php?units=us&lon=-122.69&lat=45.5,NWS Mobile Weather,12
nimh.nih.gov/health/topics/anxiety-disorders/index.shtml,NIMH » Anxiety Disorders,12
opm.gov/policy-data-oversight/snow-dismissal-procedures/federal-holidays/,Federal Holidays,12
pptform.state.gov/parentspouse,Passport Application System,12
retail-pi.usps.com/retailpi/actions/index.action,USPS.com® - USPS Package Intercept®,12
safercar.gov/,Home | Safercar -- National Highway Traffic Safety Administration (NHTSA),12
sba.gov/starting-business/write-your-business-plan,How to Write a Business Plan | The U.S. Small Business Administration | SBA.gov,12
studentaid.ed.gov/sa/types/loans/plus,PLUS Loans | Federal Student Aid,12
studentloans.gov/mydirectloan/login.action?redirectto=/mydirectloan/index.action,StudentLoans.gov,12
tools.usps.com/go/polocatoraction!input.action,USPS.com® - Find Locations,12
travel.state.gov/content/passports/en/passports/photos/photos.html,Photo Requirements,12
treasury.gov/pages/social.aspx,Social Hub,12
usajobs.gov/getjob/viewdetails/458476800/,USAJOBS - Job Announcement,12
uspto.gov/patents-application-process/search-patents,Search for patents | USPTO,12
womenshealth.gov/publications/our-publications/fact-sheet/premenstrual-syndrome.html,Premenstrual syndrome (PMS) fact sheet | womenshealth.gov,12
apps.irs.gov/app/withholdingcalculator/index2.jsp,2016 Withholding Calculator,11
archives.gov/federal-register/electoral-college/roles.html,U. S. Electoral College: Roles and Responsibilities,11
cancer.gov/,Comprehensive Cancer Information - National Cancer Institute,11
cancer.gov/types/prostate/psa-fact-sheet,Prostate-Specific Antigen (PSA) Test - National Cancer Institute,11
cdc.gov/meningitis/viral.html,Meningitis | Viral | CDC,11
cdc.gov/norovirus/about/symptoms.html,Norovirus | Symptoms | CDC,11
ceac.state.gov/genniv/common/sessiontimedout.aspx?cul=en-us,Consular Electronic Application Center - Session Timed Out,11
ceac.state.gov/ivapp/ivapp/complete/complete_contact.aspx?node=addressphone1,Immigrant Visa - Present and Previous Address Information,11
cnrfc.noaa.gov/awipsproducts/rnowrkcli.php,(not set),11
dea.gov/index.shtml,DEA.gov / Home,11
egov.uscis.gov/casestatus/logon.do,myUSCIS - Login,11
egov.uscis.gov/cris/contactus,USCIS - Contact Us Page,11
eol.jsc.nasa.gov/esrs/hdev/,HDEV,11
es.usps.com/holiday/welcome.htm?ns_campaign=holiday2016&ns_mchannel=all-media&ns_source=fiestas,Días festivos 2016 | USPS,11
fbo.gov/index,Home - Federal Business Opportunities: Home,11
fda.gov/safety/recalls/ucm532905.htm,"Recalls, Market Withdrawals, & Safety Alerts > Lenny & Larry’s, Inc. Conducts Nationwide Voluntary Recall of Chocolate Chip and Coconut Chocolate Chip Complete Cookie Recall Due To Possible Undeclared Milk in Dark Chocolate Chips",11
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.57°N and Longitude 111.67°W (Elev. 9298 ft),11
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.63°N and Longitude 122.67°W (Elev. 164 ft),11
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 45.71°N and Longitude 121.51°W (Elev. 200 ft),11
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.75°N and Longitude 121.09°W (Elev. 4049 ft),11
gab.usps.com/addrbook/secure/yourcontactsaction_input,USPS.com® - Address Book,11
hhs.gov/,HHS.gov,11
irs.gov/tax-professionals/e-services-online-tools-for-tax-professionals,e-Services - Online Tools for Tax Professionals,11
jpl.nasa.gov/,"NASA Jet Propulsion Laboratory (JPL) - Space Mission and Science News, Videos and Images",11
medlineplus.gov/spanish/druginfo/meds/a685024-es.html,Amoxicilina y Ácido Clavulánico: MedlinePlus medicinas,11
medlineplus.gov/spanish/druginfo/meds/a699015-es.html,Sildenafil: MedlinePlus medicinas,11
medlineplus.gov/spanish/ency/article/000468.htm,Hipertensión arterial: MedlinePlus enciclopedia médica,11
medlineplus.gov/spanish/ency/article/000655.htm,Faringitis y dolor de garganta: MedlinePlus enciclopedia médica,11
medlineplus.gov/spanish/ency/article/000897.htm,Generalidades sobre la vulvovaginitis: MedlinePlus enciclopedia médica,11
medlineplus.gov/spanish/ency/article/003079.htm,Dolor torácico: MedlinePlus enciclopedia médica,11
medlineplus.gov/spanish/ency/article/003206.htm,Entumecimiento y hormigueo: MedlinePlus enciclopedia médica,11
medlineplus.gov/spanish/ency/patientinstructions/000772.htm,Dosis del ibuprofeno para los niños: MedlinePlus enciclopedia médica,11
medlineplus.gov/tuberculosis.html,Tuberculosis: MedlinePlus,11
myhealth.va.gov/mhv-portal-web/secure-messaging,Secure Messaging - My HealtheVet - My HealtheVet,11
nasa.gov/feature/goddard/nasa-study-mass-gains-of-antarctic-ice-sheet-greater-than-losses/,NASA Study: Mass Gains of Antarctic Ice Sheet Greater than Losses | NASA,11
nasa.gov/multimedia/nasatv/index.html,NASA Television | NASA,11
nces.ed.gov/collegenavigator/,College Navigator - National Center for Education Statistics,11
nimh.nih.gov/health/topics/schizophrenia/index.shtml,NIMH » Schizophrenia,11
ods.od.nih.gov/factsheets/magnesium-healthprofessional/,Magnesium — Health Professional Fact Sheet,11
opm.gov/cybersecurity/,Cybersecurity Resource Center,11
opm.gov/healthcare-insurance/dental-vision/plan-information/,Plan Information,11
petitions.whitehouse.gov/petition/dea-must-require-pre-existing-clinical-reports-justify-scheduling-drug,The DEA must require pre-existing clinical reports to justify the scheduling of a drug. | We the People: Your Voice in Our Government,11
postcalc.usps.com/default.aspx?m=0&dpb=0,Postage Price Calculator,11
pptform.state.gov/review,Passport Application System,11
sm.myhealth.va.gov/mhv-sm-web/compose.action,My HealtheVet - Secure Messaging - Create New Message,11
spc.noaa.gov/products/exper/day4-8/,"Storm Prediction Center Dec 14, 2016 Day 4-8 Severe Weather Outlook",11
ssa.gov/disability/,Benefits for People with Disabilities,11
ssa.gov/planners/benefitcalculators.html,Calculators,11
store.usps.com/store/browse/category.jsp?categoryid=buy-stamps,Stamps,11
studentaid.ed.gov/sa/repay-loans/consolidation,Loan Consolidation | Federal Student Aid,11
studentaid.ed.gov/sa/repay-loans/understand/plans/income-driven,Income-Driven Plans | Federal Student Aid,11
studentaid.ed.gov/sa/types/grants-scholarships/finding-scholarships,Finding and Applying for Scholarships | Federal Student Aid,11
therealcost.betobaccofree.hhs.gov/hacked.html?campaign=gm,"Don't Get Hacked by Cigarettes | The Real Cost",11
tools.usps.com/go/scheduleapickupaction_confirmationmulti,USPS.com® - Schedule a Pickup,11
travel.state.gov/content/visas/en.html,U.S. Visa,11
travel.state.gov/content/visas/en/immigrate/family/fiance-k-1.html,Nonimmigrant Visa for a Fiancé(e) (K-1),11
travel.state.gov/content/visas/en/immigrate/immigrant-process/approved/contact.html,Begin National Visa Center (NVC) Processing,11
travel.state.gov/vpv404/content/travel/en/404.html/,404 - Page Not Found,11
tsa.gov/precheck/faq,TSA Pre✓® FAQ | Transportation Security Administration,11
usajobs.gov/applicant/application/applystart/invalid/,USAJOBS - Review Package,11
uscis.gov/file-online/uscis-immigrant-fee,USCIS Immigrant Fee | USCIS,11
uscis.gov/green-card/green-card-processes-and-procedures/green-card-eligibility,Green Card Eligibility | USCIS,11
usps.com/ship/,How to Send Mail | USPS,11
weather.gov/gjt/,"Grand Junction, CO",11
weather.gov/lwx/,"Sterling, VA",11
weather.gov/mkx/bittercoldsnowthisweek,Bitter Cold This Week; Accumulating Snow Friday Into Saturday; More Cold (Updated 3:00 PM 12/14),11
whitehouse.gov/administration/president-obama,President Barack Obama | whitehouse.gov,11
wrh.noaa.gov/satellite/?wfo=lox,National Weather Service - NWS Los Angeles/Oxnard,11
wrh.noaa.gov/total_forecast/getprod.php?prod=xxxafdsew&wfo=sew,National Weather Service - NWS Seattle,11
wrh.noaa.gov/total_forecast/getprod.php?prod=xxxafdsgx&wfo=sgx,National Weather Service - NWS San Diego,11
ada.gov/,ADA.gov homepage,10
archives.gov/federal-register/electoral-college/provisions.html,U. S. Electoral College: Presidential Election Laws,10
benefits.gov/benefits/benefit-finder,Benefit Finder | Benefits.gov,10
cdc.gov/norovirus/,Norovirus | Home | CDC,10
cdc.gov/std/hpv/stdfact-hpv-and-men.htm,STD Facts - HPV and Men,10
cdc.gov/std/spanish/gonorrea/stdfact-gonorrhea-s.htm,Gonorrea - Enfermedades de transmisión sexual,10
ceac.state.gov/ceacstattracker/status.aspx?app=niv,CEAC,10
ceac.state.gov/ctrac/invoice/receipt.aspx?node=receipt,Receipt Page,10
ceac.state.gov/genniv/general/photo/photo_confirmphoto.aspx?node=confirmphoto,Nonimmigrant Visa - Confirm Photo,10
ceac.state.gov/genniv/general/review/review_reviewfamily.aspx?node=reviewfamily,Nonimmigrant Visa - Review Family Information,10
climate.nasa.gov/causes/,Climate Change: Vital Signs of the Planet: Causes,10
cns.usps.com/cfo-web/labelinformation.shtml,USPS.com® - Customs Forms,10
consumer.ftc.gov/topics/protecting-kids-online,Protecting Kids Online | Consumer Information,10
egov.uscis.gov/casestatus/mycasestatus.do,myUSCIS - Case Status Search,10
epa.gov/bedbugs/do-it-yourself-bed-bug-control,Do-it-yourself Bed Bug Control | Bed Bugs: Get Them Out and Keep Them Out | US EPA,10
epa.gov/ghgemissions/overview-greenhouse-gases,Overview of Greenhouse Gases | Greenhouse Gas (GHG) Emissions | US EPA,10
espanol.epa.gov/espanol/10-consejos-utiles-para-eliminar-las-chinches-de-cama,10 consejos útiles para eliminar las chinches de cama | EPA en español | US EPA,10
faa.gov/search/?omni=mainsearch,Search Results,10
faa.gov/uas/faqs/,Unmanned Aircraft Systems (UAS) Frequently Asked Questions/Help,10
fbo.gov/index?s=opportunity&mode=list&tab=list,Opportunities - Federal Business Opportunities: Opportunities,10
forecast-v3.weather.gov/documentation?redirect=legacy,National Weather Service,10
forecast.weather.gov/mapclick.php,(not set),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 40.71°N and Longitude 73.98°W (Elev. 26 ft),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 43.49°N and Longitude 110.75°W (Elev. 6329 ft),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 44.08°N and Longitude 103.24°W (Elev. 3291 ft),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.24°N and Longitude 119.11°W (Elev. 397 ft),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 46.73°N and Longitude 117.17°W (Elev. 2556 ft),10
forecast.weather.gov/mapclick.php,7-Day Forecast for Latitude 47.62°N and Longitude 122.36°W (Elev. 105 ft),10
gobierno.usa.gov/,Guía oficial de información y servicios del Gobierno | USAGov,10
ice.gov/,ICE |,10
ircalc.usps.com/,International Price Calculator,10
justice.gov/,U.S. Department of Justice,10
login.usajobs.gov/account/username,USAJOBS - Username & Password,10
mcc.gov/news-and-events/release/release-121416-board-meeting-dec-2016,"Millennium Challenge Corporation Board of Directors Selects Burkina Faso, Sri Lanka, Tunisia for New Compacts | Millennium Challenge Corporation",10
medlineplus.gov/spanish/druginfo/meds/a601246-es.html,Pantoprazol: MedlinePlus medicinas,10
