date,os,visits
2016-10-31,Nokia,639
2016-10-31,Playstation 3,204
2016-10-31,Playstation Vita,177
2016-10-31,Samsung,1020
2016-10-31,SunOS,109
2016-10-31,SymbianOS,352
2016-10-31,Windows,14893433
2016-10-31,Windows Phone,48109
2016-10-31,Xbox,740
2016-10-31,iOS,4707668
2016-11-01,(not set),44268
2016-11-01,Android,3940535
2016-11-01,BlackBerry,14769
2016-11-01,Chrome OS,382303
2016-11-01,Firefox OS,237
2016-11-01,FreeBSD,269
2016-11-01,Google TV,142
2016-11-01,Linux,123198
2016-11-01,Macintosh,2553626
2016-11-01,Nintendo Wii,275
2016-11-01,Nokia,699
2016-11-01,Playstation 3,210
2016-11-01,Playstation Vita,156
2016-11-01,Samsung,976
2016-11-01,SymbianOS,259
2016-11-01,Windows,15289157
2016-11-01,Windows Phone,49850
2016-11-01,Xbox,827
2016-11-01,iOS,5118333
2016-11-02,(not set),45452
2016-11-02,Android,4171861
2016-11-02,BlackBerry,14977
2016-11-02,Chrome OS,390267
2016-11-02,Firefox OS,246
2016-11-02,FreeBSD,257
2016-11-02,Google TV,184
2016-11-02,Linux,135217
2016-11-02,Macintosh,2547077
2016-11-02,Nintendo Wii,335
2016-11-02,Nokia,664
2016-11-02,Playstation 3,256
2016-11-02,Playstation Vita,176
2016-11-02,Samsung,1050
2016-11-02,SymbianOS,306
2016-11-02,Windows,15451410
2016-11-02,Windows Phone,52675
2016-11-02,Xbox,884
2016-11-02,iOS,5419775
2016-11-03,(not set),45459
2016-11-03,Android,4116387
2016-11-03,BlackBerry,15219
2016-11-03,Chrome OS,401753
2016-11-03,Firefox OS,297
2016-11-03,FreeBSD,287
2016-11-03,Google TV,168
2016-11-03,Linux,129245
2016-11-03,Macintosh,2423735
2016-11-03,Nintendo Wii,326
2016-11-03,Nokia,705
2016-11-03,Playstation 3,255
2016-11-03,Playstation Vita,206
2016-11-03,Samsung,1042
2016-11-03,SymbianOS,304
2016-11-03,Windows,14950922
2016-11-03,Windows Phone,51556
2016-11-03,Xbox,872
2016-11-03,iOS,5303253
2016-11-04,(not set),41562
2016-11-04,Android,3836907
2016-11-04,BlackBerry,13773
2016-11-04,Chrome OS,327093
2016-11-04,Firefox OS,284
2016-11-04,FreeBSD,287
2016-11-04,Google TV,127
2016-11-04,Linux,129998
2016-11-04,Macintosh,2048155
2016-11-04,Nintendo Wii,298
2016-11-04,Nokia,656
2016-11-04,Playstation 3,207
2016-11-04,Playstation Vita,148
2016-11-04,Samsung,1051
2016-11-04,SymbianOS,297
2016-11-04,Windows,12894969
2016-11-04,Windows Phone,48686
2016-11-04,Xbox,848
2016-11-04,iOS,4879010
2016-11-05,(not set),39784
2016-11-05,Android,3197674
2016-11-05,BlackBerry,11724
2016-11-05,Chrome OS,81309
2016-11-05,Firefox OS,261
2016-11-05,FreeBSD,246
2016-11-05,Google TV,127
2016-11-05,Linux,92762
2016-11-05,Macintosh,1393372
2016-11-05,Nintendo Wii,297
2016-11-05,Nokia,608
2016-11-05,Playstation 3,207
2016-11-05,Playstation Vita,154
2016-11-05,Samsung,965
2016-11-05,SymbianOS,310
2016-11-05,Windows,5872069
2016-11-05,Windows Phone,42814
2016-11-05,Xbox,797
2016-11-05,iOS,3989433
2016-11-06,(not set),44411
2016-11-06,Android,3288703
2016-11-06,BlackBerry,12496
2016-11-06,Chrome OS,109361
2016-11-06,Firefox OS,260
2016-11-06,FreeBSD,240
2016-11-06,Google TV,147
2016-11-06,Linux,96889
2016-11-06,Macintosh,1785461
2016-11-06,Nintendo Wii,301
2016-11-06,Nokia,650
2016-11-06,Playstation 3,190
2016-11-06,Playstation Vita,202
2016-11-06,Samsung,1014
2016-11-06,SymbianOS,324
2016-11-06,Windows,6710152
2016-11-06,Windows Phone,46190
2016-11-06,Xbox,881
2016-11-06,iOS,4001060
2016-11-07,(not set),46530
2016-11-07,Android,4225389
2016-11-07,BlackBerry,15276
2016-11-07,Chrome OS,379440
2016-11-07,Firefox OS,249
2016-11-07,FreeBSD,306
2016-11-07,Google TV,155
2016-11-07,Linux,138146
2016-11-07,Macintosh,2707069
2016-11-07,Nintendo Wii,314
2016-11-07,Nokia,793
2016-11-07,Playstation 3,231
2016-11-07,Playstation Vita,189
2016-11-07,Samsung,1201
2016-11-07,SunOS,149
2016-11-07,SymbianOS,290
2016-11-07,Windows,16060053
2016-11-07,Windows Phone,53852
2016-11-07,Xbox,792
2016-11-07,iOS,5308415
2016-11-08,(not set),47614
2016-11-08,Android,4314599
2016-11-08,BlackBerry,15739
2016-11-08,Chrome OS,336715
2016-11-08,Firefox OS,330
2016-11-08,FreeBSD,297
2016-11-08,Google TV,162
2016-11-08,Linux,128769
2016-11-08,Macintosh,2419972
2016-11-08,Nintendo Wii,348
2016-11-08,Nokia,697
2016-11-08,Playstation 3,207
2016-11-08,Playstation Vita,188
2016-11-08,Samsung,1124
2016-11-08,SymbianOS,296
2016-11-08,Windows,14507156
2016-11-08,Windows Phone,57852
2016-11-08,Xbox,886
2016-11-08,iOS,5507240
2016-11-09,(not set),47451
2016-11-09,Android,4448419
2016-11-09,BlackBerry,15234
2016-11-09,Chrome OS,388285
2016-11-09,Firefox OS,307
2016-11-09,FreeBSD,248
2016-11-09,Google TV,183
2016-11-09,Linux,133007
2016-11-09,Macintosh,2488858
2016-11-09,Nintendo Wii,331
2016-11-09,Nokia,734
2016-11-09,Playstation 3,264
2016-11-09,Playstation Vita,198
2016-11-09,Samsung,1066
2016-11-09,SymbianOS,285
2016-11-09,Windows,14492285
2016-11-09,Windows Phone,56233
2016-11-09,Xbox,974
2016-11-09,iOS,6182118
2016-11-10,(not set),46059
2016-11-10,Android,4641494
2016-11-10,BlackBerry,15634
2016-11-10,Chrome OS,390452
2016-11-10,Firefox OS,301
2016-11-10,FreeBSD,287
2016-11-10,Google TV,168
2016-11-10,Linux,133090
2016-11-10,Macintosh,2648272
2016-11-10,Nintendo Wii,322
2016-11-10,Nokia,663
2016-11-10,Playstation 3,192
2016-11-10,Playstation Vita,146
2016-11-10,Samsung,1071
2016-11-10,SunOS,105
2016-11-10,SymbianOS,259
2016-11-10,Windows,14519421
2016-11-10,Windows Phone,53283
2016-11-10,Xbox,841
2016-11-10,iOS,6596676
2016-11-11,(not set),41955
2016-11-11,Android,4056657
2016-11-11,BlackBerry,13435
2016-11-11,Chrome OS,239842
2016-11-11,Firefox OS,240
2016-11-11,FreeBSD,302
2016-11-11,Google TV,156
2016-11-11,Linux,115192
2016-11-11,Macintosh,2061693
2016-11-11,Nintendo Wii,330
2016-11-11,Nokia,607
2016-11-11,Playstation 3,170
2016-11-11,Playstation Vita,223
2016-11-11,Samsung,938
2016-11-11,SymbianOS,256
2016-11-11,Windows,10188227
2016-11-11,Windows Phone,49088
2016-11-11,Xbox,877
2016-11-11,iOS,5510432
2016-11-12,(not set),39204
2016-11-12,Android,3504434
2016-11-12,BlackBerry,11674
2016-11-12,Chrome OS,87798
2016-11-12,Firefox OS,205
2016-11-12,FreeBSD,224
2016-11-12,Google TV,140
2016-11-12,Linux,85963
2016-11-12,Macintosh,1509424
2016-11-12,Nintendo Wii,314
2016-11-12,Nokia,672
2016-11-12,Playstation 3,172
2016-11-12,Playstation Vita,213
2016-11-12,Samsung,961
2016-11-12,SymbianOS,249
2016-11-12,Windows,5757516
2016-11-12,Windows Phone,43155
2016-11-12,Xbox,896
2016-11-12,iOS,4743872
2016-11-13,(not set),42022
2016-11-13,Android,3498809
2016-11-13,BlackBerry,12778
2016-11-13,Chrome OS,115583
2016-11-13,Firefox OS,287
2016-11-13,FreeBSD,252
2016-11-13,Google TV,149
2016-11-13,Linux,86692
2016-11-13,Macintosh,1819049
2016-11-13,Nintendo Wii,336
2016-11-13,Nokia,605
2016-11-13,Playstation 3,162
2016-11-13,Playstation Vita,193
2016-11-13,Samsung,1045
2016-11-13,SymbianOS,257
2016-11-13,Windows,6308620
2016-11-13,Windows Phone,46411
2016-11-13,Xbox,822
2016-11-13,iOS,4380840
2016-11-14,(not set),46112
2016-11-14,Android,4441984
2016-11-14,BlackBerry,15244
2016-11-14,Chrome OS,406416
2016-11-14,Firefox OS,294
2016-11-14,FreeBSD,300
2016-11-14,Google TV,172
2016-11-14,Linux,134052
2016-11-14,Macintosh,2906647
2016-11-14,Nintendo Wii,345
2016-11-14,Nokia,685
2016-11-14,Playstation 3,205
2016-11-14,Playstation Vita,205
2016-11-14,Samsung,1194
2016-11-14,SymbianOS,294
2016-11-14,Windows,16172946
2016-11-14,Windows Phone,54043
2016-11-14,Xbox,998
2016-11-14,iOS,5809586
2016-11-15,(not set),45743
2016-11-15,Android,4308067
2016-11-15,BlackBerry,14859
2016-11-15,Chrome OS,429613
2016-11-15,Firefox OS,264
2016-11-15,FreeBSD,308
2016-11-15,Google TV,157
2016-11-15,Linux,131733
2016-11-15,Macintosh,2798098
2016-11-15,Nintendo Wii,308
2016-11-15,Nokia,646
2016-11-15,Playstation 3,242
2016-11-15,Playstation Vita,212
2016-11-15,Samsung,1130
2016-11-15,SymbianOS,239
2016-11-15,Windows,15806401
2016-11-15,Windows Phone,53039
2016-11-15,Xbox,885
2016-11-15,iOS,5797078
2016-11-16,(not set),45598
2016-11-16,Android,4380499
2016-11-16,BlackBerry,15005
2016-11-16,Chrome OS,431386
2016-11-16,Firefox OS,276
2016-11-16,FreeBSD,306
2016-11-16,Google TV,202
2016-11-16,Linux,131452
2016-11-16,Macintosh,2730111
2016-11-16,Nintendo Wii,326
2016-11-16,Nokia,656
2016-11-16,Playstation 3,175
2016-11-16,Playstation Vita,200
2016-11-16,Samsung,1061
2016-11-16,SunOS,105
2016-11-16,SymbianOS,269
2016-11-16,Windows,15514396
2016-11-16,Windows Phone,52018
2016-11-16,Xbox,940
2016-11-16,iOS,5997531
2016-11-17,(not set),44430
2016-11-17,Android,4261468
2016-11-17,BlackBerry,14452
2016-11-17,Chrome OS,428002
2016-11-17,Firefox OS,224
2016-11-17,FreeBSD,329
2016-11-17,Google TV,165
2016-11-17,Linux,132457
2016-11-17,Macintosh,2561559
2016-11-17,Nintendo Wii,330
2016-11-17,Nokia,661
2016-11-17,Playstation 3,176
2016-11-17,Playstation Vita,225
2016-11-17,Samsung,1120
2016-11-17,SunOS,103
2016-11-17,SymbianOS,242
2016-11-17,Windows,15073145
2016-11-17,Windows Phone,51010
2016-11-17,Xbox,951
2016-11-17,iOS,5794189
2016-11-18,(not set),40654
2016-11-18,Android,3921095
2016-11-18,BlackBerry,13602
2016-11-18,Chrome OS,332903
2016-11-18,Firefox OS,234
2016-11-18,FreeBSD,335
2016-11-18,Google TV,182
2016-11-18,Linux,123611
2016-11-18,Macintosh,2139261
2016-11-18,Nintendo Wii,332
2016-11-18,Nokia,564
2016-11-18,Playstation 3,209
2016-11-18,Playstation Vita,222
2016-11-18,Samsung,997
2016-11-18,SymbianOS,292
2016-11-18,Windows,12886861
2016-11-18,Windows Phone,47085
2016-11-18,Xbox,948
2016-11-18,iOS,5305066
2016-11-19,(not set),38610
2016-11-19,Android,3356986
2016-11-19,BlackBerry,11674
2016-11-19,Chrome OS,90206
2016-11-19,Firefox OS,209
2016-11-19,FreeBSD,297
2016-11-19,Google TV,191
2016-11-19,Linux,88639
2016-11-19,Macintosh,1513364
2016-11-19,Nintendo Wii,321
2016-11-19,Nokia,593
2016-11-19,Playstation 3,183
2016-11-19,Playstation Vita,171
2016-11-19,Samsung,975
2016-11-19,SymbianOS,227
2016-11-19,Windows,5900871
2016-11-19,Windows Phone,41839
2016-11-19,Xbox,1017
2016-11-19,iOS,4487126
2016-11-20,(not set),41606
2016-11-20,Android,3220063
2016-11-20,BlackBerry,11823
2016-11-20,Chrome OS,111683
2016-11-20,Firefox OS,225
2016-11-20,FreeBSD,259
2016-11-20,Google TV,171
2016-11-20,Linux,86457
2016-11-20,Macintosh,1774039
2016-11-20,Nintendo Wii,372
2016-11-20,Nokia,579
2016-11-20,Playstation 3,208
2016-11-20,Playstation Vita,162
2016-11-20,Samsung,1127
2016-11-20,SymbianOS,253
2016-11-20,Windows,6241904
2016-11-20,Windows Phone,43098
2016-11-20,Xbox,846
2016-11-20,iOS,4217749
2016-11-21,(not set),43814
2016-11-21,Android,4180784
2016-11-21,BlackBerry,14217
2016-11-21,Chrome OS,321800
2016-11-21,Firefox OS,266
2016-11-21,FreeBSD,344
2016-11-21,Google TV,208
2016-11-21,Linux,134211
2016-11-21,Macintosh,2681694
2016-11-21,Nintendo Wii,310
2016-11-21,Nokia,636
2016-11-21,Playstation 3,207
2016-11-21,Playstation Vita,183
2016-11-21,Samsung,1116
2016-11-21,SymbianOS,265
2016-11-21,Windows,15408765
2016-11-21,Windows Phone,49873
2016-11-21,Xbox,904
2016-11-21,iOS,5589150
2016-11-22,(not set),33721
2016-11-22,Android,4152593
2016-11-22,BlackBerry,14666
2016-11-22,Chrome OS,280171
2016-11-22,Firefox OS,252
2016-11-22,FreeBSD,328
2016-11-22,Google TV,184
2016-11-22,Linux,127198
2016-11-22,Macintosh,2392512
2016-11-22,Nintendo Wii,316
2016-11-22,Nokia,682
2016-11-22,Playstation 3,157
2016-11-22,Playstation Vita,201
2016-11-22,Samsung,1139
2016-11-22,SunOS,101
2016-11-22,SymbianOS,263
2016-11-22,Windows,14443058
2016-11-22,Windows Phone,50629
2016-11-22,Xbox,937
2016-11-22,iOS,5507244
2016-11-23,(not set),32388
2016-11-23,Android,3935018
2016-11-23,BlackBerry,14038
2016-11-23,Chrome OS,134790
2016-11-23,Firefox OS,306
2016-11-23,FreeBSD,355
2016-11-23,Google TV,145
2016-11-23,Linux,118926
2016-11-23,Macintosh,1901704
2016-11-23,Nintendo Wii,359
2016-11-23,Nokia,589
2016-11-23,Playstation 3,158
2016-11-23,Playstation Vita,174
2016-11-23,Samsung,1075
2016-11-23,SymbianOS,263
2016-11-23,Windows,11553109
2016-11-23,Windows Phone,48278
2016-11-23,Xbox,925
2016-11-23,iOS,5180348
2016-11-24,(not set),31341
2016-11-24,Android,3096667
2016-11-24,BlackBerry,12221
2016-11-24,Chrome OS,68452
2016-11-24,Firefox OS,254
2016-11-24,FreeBSD,274
2016-11-24,Google TV,140
2016-11-24,Linux,94755
2016-11-24,Macintosh,1067081
2016-11-24,Nintendo Wii,252
2016-11-24,Nokia,637
2016-11-24,Playstation 3,118
2016-11-24,Playstation Vita,162
2016-11-24,Samsung,946
2016-11-24,SymbianOS,241
2016-11-24,Windows,5092750
2016-11-24,Windows Phone,42958
2016-11-24,Xbox,791
2016-11-24,iOS,3700647
2016-11-25,(not set),29321
2016-11-25,Android,3573822
2016-11-25,BlackBerry,12172
2016-11-25,Chrome OS,90440
2016-11-25,Firefox OS,249
2016-11-25,FreeBSD,303
2016-11-25,Google TV,137
2016-11-25,Linux,100850
2016-11-25,Macintosh,1491801
2016-11-25,Nintendo Wii,265
2016-11-25,Nokia,599
2016-11-25,Playstation 3,123
2016-11-25,Playstation Vita,147
2016-11-25,Samsung,991
2016-11-25,SymbianOS,220
2016-11-25,Windows,7220641
2016-11-25,Windows Phone,43133
2016-11-25,Xbox,945
2016-11-25,iOS,4655575
2016-11-26,(not set),27147
2016-11-26,Android,3303829
2016-11-26,BlackBerry,10953
2016-11-26,Chrome OS,89691
2016-11-26,Firefox OS,210
2016-11-26,FreeBSD,285
2016-11-26,Google TV,152
2016-11-26,Linux,79279
2016-11-26,Macintosh,1461561
2016-11-26,Nintendo Wii,295
2016-11-26,Nokia,613
2016-11-26,Playstation 3,155
2016-11-26,Playstation Vita,176
2016-11-26,Samsung,1062
2016-11-26,SymbianOS,242
2016-11-26,Windows,5461274
2016-11-26,Windows Phone,40437
2016-11-26,Xbox,911
2016-11-26,iOS,4415909
2016-11-27,(not set),29541
2016-11-27,Android,3333625
2016-11-27,BlackBerry,11264
2016-11-27,Chrome OS,118412
2016-11-27,Firefox OS,234
2016-11-27,FreeBSD,247
2016-11-27,Google TV,150
2016-11-27,Linux,81949
2016-11-27,Macintosh,1854531
2016-11-27,Nintendo Wii,353
2016-11-27,Nokia,616
2016-11-27,Playstation 3,211
2016-11-27,Playstation Vita,180
2016-11-27,Samsung,1118
2016-11-27,SymbianOS,236
2016-11-27,Windows,6302184
2016-11-27,Windows Phone,40932
2016-11-27,Xbox,1019
2016-11-27,iOS,4423346
2016-11-28,(not set),31964
2016-11-28,Android,4411287
2016-11-28,BlackBerry,14146
2016-11-28,Chrome OS,393483
2016-11-28,Firefox OS,293
2016-11-28,FreeBSD,348
2016-11-28,Google TV,183
2016-11-28,Linux,134967
2016-11-28,Macintosh,2989770
2016-11-28,Nintendo Wii,334
2016-11-28,Nokia,642
2016-11-28,Playstation 3,180
2016-11-28,Playstation Vita,177
2016-11-28,Samsung,1109
2016-11-28,SunOS,106
2016-11-28,SymbianOS,231
2016-11-28,Windows,16297377
2016-11-28,Windows Phone,48656
2016-11-28,Xbox,1059
2016-11-28,iOS,6047466
2016-11-29,(not set),32062
2016-11-29,Android,4499710
2016-11-29,BlackBerry,14530
2016-11-29,Chrome OS,446403
2016-11-29,Firefox OS,241
2016-11-29,FreeBSD,330
2016-11-29,Google TV,225
2016-11-29,Linux,133343
2016-11-29,Macintosh,3038737
2016-11-29,Nintendo Wii,357
2016-11-29,Nokia,612
2016-11-29,Playstation 3,227
2016-11-29,Playstation Vita,182
2016-11-29,Samsung,1012
2016-11-29,SymbianOS,251
2016-11-29,Windows,16551756
2016-11-29,Windows Phone,49543
2016-11-29,Xbox,1153
2016-11-29,iOS,6354902
2016-11-30,(not set),32250
2016-11-30,Android,4616291
2016-11-30,BlackBerry,14404
2016-11-30,Chrome OS,462316
2016-11-30,Firefox OS,266
2016-11-30,FreeBSD,329
2016-11-30,Google TV,162
2016-11-30,Linux,137637
2016-11-30,Macintosh,2975505
2016-11-30,Nintendo Wii,387
2016-11-30,Nokia,639
2016-11-30,Playstation 3,201
2016-11-30,Playstation Vita,163
2016-11-30,Samsung,1085
2016-11-30,SymbianOS,230
2016-11-30,Windows,16278264
2016-11-30,Windows Phone,49224
2016-11-30,Xbox,1082
2016-11-30,iOS,6687925
2016-12-01,(not set),32109
2016-12-01,Android,4614448
2016-12-01,BlackBerry,14409
2016-12-01,Chrome OS,450460
2016-12-01,Firefox OS,219
2016-12-01,FreeBSD,346
2016-12-01,Google TV,188
2016-12-01,Linux,134422
2016-12-01,Macintosh,2810035
2016-12-01,Nintendo Wii,327
2016-12-01,Nokia,609
2016-12-01,Playstation 3,160
2016-12-01,Playstation Vita,135
2016-12-01,Samsung,1066
2016-12-01,SymbianOS,288
2016-12-01,Windows,15485486
2016-12-01,Windows Phone,48611
2016-12-01,Xbox,1019
2016-12-01,iOS,6793646
2016-12-02,(not set),28391
2016-12-02,Android,4316017
2016-12-02,BlackBerry,12775
2016-12-02,Chrome OS,385077
2016-12-02,Firefox OS,217
2016-12-02,FreeBSD,322
2016-12-02,Google TV,173
2016-12-02,Linux,122689
2016-12-02,Macintosh,2420686
2016-12-02,Nintendo Wii,323
2016-12-02,Nokia,570
2016-12-02,Playstation 3,172
2016-12-02,Playstation Vita,143
2016-12-02,Samsung,952
2016-12-02,SymbianOS,220
2016-12-02,Windows,13614787
2016-12-02,Windows Phone,44604
2016-12-02,Xbox,1005
2016-12-02,iOS,6402444
2016-12-03,(not set),26340
2016-12-03,Android,3740510
2016-12-03,BlackBerry,11192
2016-12-03,Chrome OS,102641
2016-12-03,Firefox OS,202
2016-12-03,FreeBSD,298
2016-12-03,Google TV,155
2016-12-03,Linux,90746
2016-12-03,Macintosh,1706507
2016-12-03,Nintendo Wii,390
2016-12-03,Nokia,526
2016-12-03,Playstation 3,199
2016-12-03,Playstation Vita,174
2016-12-03,Samsung,949
2016-12-03,SymbianOS,208
2016-12-03,Windows,6374936
2016-12-03,Windows Phone,40968
2016-12-03,Xbox,1108
2016-12-03,iOS,5415121
2016-12-04,(not set),27457
2016-12-04,Android,3488107
2016-12-04,BlackBerry,11184
2016-12-04,Chrome OS,130279
2016-12-04,Firefox OS,206
2016-12-04,FreeBSD,276
2016-12-04,Google TV,197
2016-12-04,Linux,88682
2016-12-04,Macintosh,1977147
2016-12-04,Nintendo Wii,370
2016-12-04,Nokia,569
2016-12-04,Playstation 3,229
2016-12-04,Playstation Vita,169
2016-12-04,Samsung,1036
2016-12-04,SymbianOS,230
2016-12-04,Windows,6697418
2016-12-04,Windows Phone,40938
2016-12-04,Xbox,1039
2016-12-04,iOS,4860265
2016-12-05,(not set),30410
2016-12-05,Android,4745234
2016-12-05,BlackBerry,13884
2016-12-05,Chrome OS,436869
2016-12-05,Firefox OS,277
2016-12-05,FreeBSD,392
2016-12-05,Google TV,247
2016-12-05,Linux,136480
2016-12-05,Macintosh,3168461
2016-12-05,Nintendo Wii,401
2016-12-05,Nokia,579
2016-12-05,Playstation 3,225
2016-12-05,Playstation Vita,237
2016-12-05,Samsung,979
2016-12-05,SymbianOS,235
2016-12-05,Windows,17085080
2016-12-05,Windows Phone,49510
2016-12-05,Xbox,1197
2016-12-05,iOS,6959941
2016-12-06,(not set),30448
2016-12-06,Android,4602084
2016-12-06,BlackBerry,14303
2016-12-06,Chrome OS,458964
2016-12-06,Firefox OS,256
2016-12-06,FreeBSD,369
2016-12-06,Google TV,208
2016-12-06,Linux,136430
2016-12-06,Macintosh,3015825
2016-12-06,Nintendo Wii,325
2016-12-06,Nokia,607
2016-12-06,Playstation 3,184
2016-12-06,Playstation Vita,186
2016-12-06,Samsung,1040
2016-12-06,SymbianOS,224
2016-12-06,Windows,16646546
2016-12-06,Windows Phone,48274
2016-12-06,Xbox,1144
2016-12-06,iOS,6690564
2016-12-07,(not set),30469
2016-12-07,Android,4600593
2016-12-07,BlackBerry,13998
2016-12-07,Chrome OS,450052
2016-12-07,Firefox OS,253
2016-12-07,FreeBSD,365
2016-12-07,Google TV,188
2016-12-07,Linux,139038
2016-12-07,Macintosh,2921050
2016-12-07,Nintendo Wii,392
2016-12-07,Nokia,592
2016-12-07,Playstation 3,168
2016-12-07,Playstation Vita,178
2016-12-07,Samsung,1001
2016-12-07,SymbianOS,230
2016-12-07,Windows,16304603
2016-12-07,Windows Phone,47100
2016-12-07,Xbox,1126
2016-12-07,iOS,6730685
2016-12-08,(not set),29813
2016-12-08,Android,4700710
2016-12-08,BlackBerry,14334
2016-12-08,Chrome OS,449555
2016-12-08,Firefox OS,207
2016-12-08,FreeBSD,439
2016-12-08,Google TV,202
2016-12-08,Linux,139635
2016-12-08,Macintosh,2877812
2016-12-08,Nintendo Wii,382
2016-12-08,Nokia,578
2016-12-08,Playstation 3,218
2016-12-08,Playstation Vita,158
2016-12-08,Samsung,1059
2016-12-08,SymbianOS,233
2016-12-08,Windows,16030517
2016-12-08,Windows Phone,48665
2016-12-08,Xbox,1071
2016-12-08,iOS,6960180
2016-12-09,(not set),27482
2016-12-09,Android,4346365
2016-12-09,BlackBerry,12766
2016-12-09,Chrome OS,376852
2016-12-09,Firefox OS,223
2016-12-09,FreeBSD,327
2016-12-09,Google TV,192
2016-12-09,Linux,127752
2016-12-09,Macintosh,2465527
2016-12-09,Nintendo Wii,339
2016-12-09,Nokia,579
2016-12-09,Playstation 3,194
2016-12-09,Playstation Vita,168
2016-12-09,Samsung,849
2016-12-09,SymbianOS,204
2016-12-09,Windows,13930736
2016-12-09,Windows Phone,45126
2016-12-09,Xbox,1061
2016-12-09,iOS,6357124
2016-12-10,(not set),25815
2016-12-10,Android,3774180
2016-12-10,BlackBerry,11354
2016-12-10,Chrome OS,107968
2016-12-10,Firefox OS,214
2016-12-10,FreeBSD,369
2016-12-10,Google TV,219
2016-12-10,Linux,93696
2016-12-10,Macintosh,1758647
2016-12-10,Nintendo Wii,426
2016-12-10,Nokia,522
2016-12-10,Playstation 3,172
2016-12-10,Playstation Vita,173
2016-12-10,Samsung,953
2016-12-10,SymbianOS,218
2016-12-10,Windows,6577760
2016-12-10,Windows Phone,41693
2016-12-10,Xbox,1148
2016-12-10,iOS,5445859
2016-12-11,(not set),25970
2016-12-11,Android,3534850
2016-12-11,BlackBerry,11257
2016-12-11,Chrome OS,134293
2016-12-11,Firefox OS,161
2016-12-11,FreeBSD,361
2016-12-11,Google TV,175
2016-12-11,Linux,90615
2016-12-11,Macintosh,1972854
2016-12-11,Nintendo Wii,392
2016-12-11,Nokia,498
2016-12-11,Playstation 3,204
2016-12-11,Playstation Vita,180
2016-12-11,Samsung,980
2016-12-11,SymbianOS,216
2016-12-11,Windows,6726037
2016-12-11,Windows Phone,40201
2016-12-11,Xbox,1079
2016-12-11,iOS,5019611
2016-12-12,(not set),28328
2016-12-12,Android,4571800
2016-12-12,BlackBerry,13210
2016-12-12,Chrome OS,411694
2016-12-12,Firefox OS,234
2016-12-12,FreeBSD,376
2016-12-12,Google TV,205
2016-12-12,Linux,136472
2016-12-12,Macintosh,3043016
2016-12-12,Nintendo Wii,335
2016-12-12,Nokia,534
2016-12-12,Playstation 3,166
2016-12-12,Playstation Vita,195
2016-12-12,Samsung,934
2016-12-12,SymbianOS,234
2016-12-12,Windows,16840567
2016-12-12,Windows Phone,46934
2016-12-12,Xbox,1161
2016-12-12,iOS,6708290
2016-12-13,(not set),28831
2016-12-13,Android,4563776
2016-12-13,BlackBerry,13172
2016-12-13,Chrome OS,428491
2016-12-13,Firefox OS,187
2016-12-13,FreeBSD,377
2016-12-13,Google TV,223
2016-12-13,Linux,133887
2016-12-13,Macintosh,2914300
2016-12-13,Nintendo Wii,363
2016-12-13,Nokia,557
2016-12-13,Playstation 3,207
2016-12-13,Playstation Vita,176
2016-12-13,Samsung,986
2016-12-13,SymbianOS,204
2016-12-13,Windows,16512015
2016-12-13,Windows Phone,46759
2016-12-13,Xbox,1084
2016-12-13,iOS,6657722
