date,browser,visits
2016-10-06,ELB-HealthChecker,6038
2016-10-06,Maxthon,5396
2016-10-06,Mozilla Compatible Agent,5184
2016-10-06,Coc Coc,5157
2016-10-06,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3543
2016-10-06,SeaMonkey,2796
2016-10-06,Iron,2607
2016-10-06,Uzbl,2271
2016-10-06,IE with Chrome Frame,1305
2016-10-06,MRCHROME,1164
2016-10-06,Nokia Browser,1034
2016-10-06,Nichrome,689
2016-10-06,pa11y,601
2016-10-06,Nintendo Browser,493
2016-10-06,Mozilla,457
2016-10-06,NetFront,362
2016-10-06,Playstation 3,289
2016-10-06,Playstation Vita Browser,251
2016-10-06,YE,222
2016-10-06,DDG-Android-3.0.12,168
2016-10-06,Netscape,153
2016-10-06,Tracker,146
2016-10-06,ios-app,120
2016-10-06,(not set),104
2016-10-07,Chrome,11383181
2016-10-07,Safari,5839338
2016-10-07,Internet Explorer,4352502
2016-10-07,Firefox,1972963
2016-10-07,Edge,806885
2016-10-07,Safari (in-app),477370
2016-10-07,Opera,185531
2016-10-07,Android Browser,181324
2016-10-07,Amazon Silk,76403
2016-10-07,Opera Mini,66378
2016-10-07,UC Browser,51125
2016-10-07,YaBrowser,18346
2016-10-07,BlackBerry,14807
2016-10-07,ELB-HealthChecker,6027
2016-10-07,Maxthon,4967
2016-10-07,Coc Coc,4649
2016-10-07,Mozilla Compatible Agent,4042
2016-10-07,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3482
2016-10-07,Uzbl,3074
2016-10-07,Iron,2786
2016-10-07,SeaMonkey,2593
2016-10-07,pa11y,2022
2016-10-07,IE with Chrome Frame,1105
2016-10-07,MRCHROME,1047
2016-10-07,Nokia Browser,892
2016-10-07,Nichrome,678
2016-10-07,Mozilla,550
2016-10-07,Nintendo Browser,414
2016-10-07,NetFront,348
2016-10-07,Playstation 3,231
2016-10-07,Playstation Vita Browser,229
2016-10-07,YE,183
2016-10-07,DDG-Android-3.0.12,169
2016-10-07,Netscape,146
2016-10-07,Tracker,142
2016-10-07,ios-app,108
2016-10-08,Chrome,7493437
2016-10-08,Safari,4603379
2016-10-08,Internet Explorer,1321993
2016-10-08,Firefox,1134506
2016-10-08,Safari (in-app),591064
2016-10-08,Edge,572449
2016-10-08,Opera,190150
2016-10-08,Android Browser,165090
2016-10-08,Amazon Silk,68091
2016-10-08,Opera Mini,60203
2016-10-08,UC Browser,45607
2016-10-08,YaBrowser,19260
2016-10-08,BlackBerry,12671
2016-10-08,ELB-HealthChecker,5977
2016-10-08,Maxthon,4372
2016-10-08,Coc Coc,4121
2016-10-08,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3509
2016-10-08,Mozilla Compatible Agent,3080
2016-10-08,Iron,2798
2016-10-08,SeaMonkey,1930
2016-10-08,MRCHROME,1066
2016-10-08,Nokia Browser,821
2016-10-08,Nichrome,664
2016-10-08,Nintendo Browser,429
2016-10-08,IE with Chrome Frame,403
2016-10-08,NetFront,314
2016-10-08,Mozilla,293
2016-10-08,Playstation 3,214
2016-10-08,Playstation Vita Browser,189
2016-10-08,DDG-Android-3.0.12,146
2016-10-08,YE,146
2016-10-08,(not set),143
2016-10-08,Tracker,136
2016-10-08,Phantom Browser,109
2016-10-09,Chrome,6954616
2016-10-09,Safari,4190697
2016-10-09,Internet Explorer,1190195
2016-10-09,Firefox,1069287
2016-10-09,Edge,563514
2016-10-09,Safari (in-app),364769
2016-10-09,Opera,192374
2016-10-09,Android Browser,152669
2016-10-09,Opera Mini,63708
2016-10-09,Amazon Silk,63422
2016-10-09,UC Browser,43852
2016-10-09,YaBrowser,19799
2016-10-09,BlackBerry,11913
2016-10-09,ELB-HealthChecker,6076
2016-10-09,Coc Coc,4385
2016-10-09,Maxthon,4216
2016-10-09,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3486
2016-10-09,Iron,2833
2016-10-09,Mozilla Compatible Agent,2814
2016-10-09,SeaMonkey,1705
2016-10-09,MRCHROME,1167
2016-10-09,Nokia Browser,885
2016-10-09,Nichrome,640
2016-10-09,Nintendo Browser,380
2016-10-09,IE with Chrome Frame,321
2016-10-09,Mozilla,262
2016-10-09,NetFront,230
2016-10-09,Playstation 3,205
2016-10-09,Playstation Vita Browser,185
2016-10-09,YE,158
2016-10-09,Netscape,152
2016-10-09,DDG-Android-3.0.12,145
2016-10-09,Tracker,121
2016-10-09,Phantom.js bot,108
2016-10-10,Chrome,11481997
2016-10-10,Safari,5598887
2016-10-10,Internet Explorer,3575857
2016-10-10,Firefox,1939481
2016-10-10,Edge,865447
2016-10-10,Safari (in-app),341826
2016-10-10,Opera,194725
2016-10-10,Android Browser,172284
2016-10-10,Opera Mini,71196
2016-10-10,Amazon Silk,67365
2016-10-10,UC Browser,43277
2016-10-10,YaBrowser,19129
2016-10-10,BlackBerry,13212
2016-10-10,ELB-HealthChecker,6011
2016-10-10,Maxthon,5346
2016-10-10,Coc Coc,4973
2016-10-10,Mozilla Compatible Agent,3678
2016-10-10,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3523
2016-10-10,Iron,2799
2016-10-10,SeaMonkey,2426
2016-10-10,Uzbl,1753
2016-10-10,MRCHROME,1096
2016-10-10,Nokia Browser,882
2016-10-10,IE with Chrome Frame,843
2016-10-10,Nichrome,644
2016-10-10,Nintendo Browser,420
2016-10-10,Mozilla,369
2016-10-10,NetFront,288
2016-10-10,Playstation Vita Browser,230
2016-10-10,Playstation 3,198
2016-10-10,YE,195
2016-10-10,Netscape,134
2016-10-10,Tracker,131
2016-10-10,DDG-Android-3.0.12,117
2016-10-10,Caremark iPhone,107
2016-10-10,ios-app,106
2016-10-11,Chrome,13328198
2016-10-11,Safari,6507658
2016-10-11,Internet Explorer,5351360
2016-10-11,Firefox,2237542
2016-10-11,Edge,953579
2016-10-11,Safari (in-app),499166
2016-10-11,Opera,201977
2016-10-11,Android Browser,184488
2016-10-11,Opera Mini,73110
2016-10-11,Amazon Silk,71239
2016-10-11,UC Browser,41532
2016-10-11,YaBrowser,19903
2016-10-11,BlackBerry,14337
2016-10-11,ELB-HealthChecker,5923
2016-10-11,Maxthon,5707
2016-10-11,Coc Coc,5216
2016-10-11,Mozilla Compatible Agent,4827
2016-10-11,pa11y,4123
2016-10-11,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,3552
2016-10-11,Iron,3100
2016-10-11,SeaMonkey,2553
2016-10-11,Uzbl,2183
2016-10-11,MRCHROME,1127
2016-10-11,IE with Chrome Frame,931
2016-10-11,Nokia Browser,810
2016-10-11,Nichrome,591
2016-10-11,Nintendo Browser,430
2016-10-11,Mozilla,407
2016-10-11,NetFront,310
2016-10-11,Playstation Vita Browser,228
2016-10-11,Playstation 3,174
2016-10-11,YE,170
2016-10-11,ios-app,142
2016-10-11,Netscape,133
2016-10-11,Tracker,129
2016-10-11,Caremark iPhone,126
2016-10-11,AdobeAIR,113
2016-10-11,Phantom Browser,113
2016-10-12,Chrome,12887430
2016-10-12,Safari,6346922
2016-10-12,Internet Explorer,5297360
2016-10-12,Firefox,2199649
2016-10-12,Edge,941693
2016-10-12,Safari (in-app),431523
2016-10-12,Android Browser,180863
2016-10-12,Opera,175385
2016-10-12,Opera Mini,73855
2016-10-12,Amazon Silk,70965
2016-10-12,UC Browser,44924
2016-10-12,YaBrowser,17264
2016-10-12,BlackBerry,15163
2016-10-12,Coc Coc,7767
2016-10-12,ELB-HealthChecker,7656
2016-10-12,Maxthon,5459
2016-10-12,Mozilla Compatible Agent,4315
2016-10-12,Iron,2660
2016-10-12,SeaMonkey,2576
2016-10-12,Amazon Route 53 Health Check Service; ref:8e0b0548-9f02-45e4-809f-9cad76972358; report http:,1493
2016-10-12,Uzbl,1348
2016-10-12,pa11y,1218
2016-10-12,MRCHROME,1155
2016-10-12,IE with Chrome Frame,955
2016-10-12,Nokia Browser,935
2016-10-12,Nintendo Browser,388
2016-10-12,Mozilla,371
2016-10-12,Nichrome,363
2016-10-12,NetFront,299
2016-10-12,Playstation Vita Browser,241
2016-10-12,Playstation 3,221
2016-10-12,YE,195
2016-10-12,Tracker,157
2016-10-12,Netscape,154
2016-10-12,osee2unifiedRelease,117
2016-10-12,Caremark iPhone,114
2016-10-12,AdobeAIR,109
2016-10-12,ios-app,108
2016-10-13,Chrome,12830196
2016-10-13,Safari,6326912
2016-10-13,Internet Explorer,5283510
2016-10-13,Firefox,2231843
2016-10-13,Edge,932648
2016-10-13,Safari (in-app),391732
2016-10-13,Opera,184603
2016-10-13,Android Browser,174625
2016-10-13,Opera Mini,75487
2016-10-13,Amazon Silk,73104
2016-10-13,UC Browser,45853
2016-10-13,YaBrowser,17456
2016-10-13,BlackBerry,14699
2016-10-13,ELB-HealthChecker,8994
2016-10-13,Coc Coc,5460
2016-10-13,Maxthon,5199
2016-10-13,Mozilla Compatible Agent,4388
2016-10-13,Iron,2787
2016-10-13,SeaMonkey,2608
2016-10-13,MRCHROME,1190
2016-10-13,IE with Chrome Frame,1051
2016-10-13,pa11y,1007
2016-10-13,Nokia Browser,926
2016-10-13,Uzbl,674
2016-10-13,Mozilla,598
2016-10-13,Nintendo Browser,420
2016-10-13,Nichrome,405
2016-10-13,NetFront,311
2016-10-13,Emb,282
2016-10-13,Playstation 3,230
2016-10-13,YE,200
2016-10-13,Tracker,189
2016-10-13,Job Search,184
2016-10-13,Playstation Vita Browser,157
2016-10-13,ios-app,137
2016-10-13,Netscape,124
2016-10-13,Caremark iPhone,106
2016-10-14,Chrome,11346141
2016-10-14,Safari,5822713
2016-10-14,Internet Explorer,4549703
2016-10-14,Firefox,2000127
2016-10-14,Edge,825778
2016-10-14,Safari (in-app),373564
2016-10-14,Opera,178131
2016-10-14,Android Browser,162124
2016-10-14,Amazon Silk,70318
2016-10-14,Opera Mini,66759
2016-10-14,UC Browser,43002
2016-10-14,YaBrowser,16738
2016-10-14,BlackBerry,13621
2016-10-14,ELB-HealthChecker,9005
2016-10-14,Maxthon,4682
2016-10-14,Mozilla Compatible Agent,4158
2016-10-14,Coc Coc,4096
2016-10-14,Iron,2738
2016-10-14,SeaMonkey,2592
2016-10-14,Uzbl,1256
2016-10-14,MRCHROME,1131
2016-10-14,IE with Chrome Frame,916
2016-10-14,Nokia Browser,838
2016-10-14,pa11y,503
2016-10-14,Mozilla,493
2016-10-14,Nichrome,419
2016-10-14,Nintendo Browser,354
2016-10-14,NetFront,286
2016-10-14,Playstation 3,238
2016-10-14,Job Search,190
2016-10-14,Tracker,183
2016-10-14,Playstation Vita Browser,180
2016-10-14,Netscape,167
2016-10-14,YE,166
2016-10-14,AdobeAIR,130
2016-10-14,ios-app,130
2016-10-14,Caremark iPhone,122
2016-10-14,DDG-Android-3.0.14,102
2016-10-15,Chrome,7220430
2016-10-15,Safari,4758032
2016-10-15,Internet Explorer,1394005
2016-10-15,Firefox,1182423
2016-10-15,Edge,598405
2016-10-15,Safari (in-app),334532
2016-10-15,Opera,170611
2016-10-15,Android Browser,148442
2016-10-15,Amazon Silk,68604
2016-10-15,Opera Mini,59577
2016-10-15,UC Browser,39668
2016-10-15,YaBrowser,16523
2016-10-15,BlackBerry,12356
2016-10-15,ELB-HealthChecker,9003
2016-10-15,Coc Coc,3847
2016-10-15,Maxthon,3625
2016-10-15,Mozilla Compatible Agent,3272
2016-10-15,Iron,2616
2016-10-15,SeaMonkey,1979
2016-10-15,MRCHROME,1132
2016-10-15,Nokia Browser,782
2016-10-15,Nichrome,416
2016-10-15,Mozilla,406
2016-10-15,Nintendo Browser,377
2016-10-15,IE with Chrome Frame,285
2016-10-15,NetFront,278
2016-10-15,Playstation 3,252
2016-10-15,Playstation Vita Browser,186
2016-10-15,Tracker,170
2016-10-15,DDG-Android-3.0.14,139
2016-10-15,Netscape,137
2016-10-15,YE,131
2016-10-15,AdobeAIR,101
2016-10-16,Chrome,7337208
2016-10-16,Safari,4490139
2016-10-16,Internet Explorer,1333955
2016-10-16,Firefox,1181728
2016-10-16,Edge,640414
2016-10-16,Safari (in-app),342951
2016-10-16,Opera,167983
2016-10-16,Android Browser,147465
2016-10-16,Amazon Silk,66006
2016-10-16,Opera Mini,65577
2016-10-16,UC Browser,42109
2016-10-16,YaBrowser,16521
2016-10-16,BlackBerry,12111
2016-10-16,ELB-HealthChecker,9001
2016-10-16,Coc Coc,4298
2016-10-16,Maxthon,4238
2016-10-16,Mozilla Compatible Agent,3090
2016-10-16,Iron,2550
2016-10-16,SeaMonkey,1918
2016-10-16,MRCHROME,1169
2016-10-16,Nokia Browser,900
2016-10-16,Nichrome,454
2016-10-16,Mozilla,379
2016-10-16,Nintendo Browser,376
2016-10-16,NetFront,306
2016-10-16,IE with Chrome Frame,291
2016-10-16,Playstation 3,249
2016-10-16,Playstation Vita Browser,193
2016-10-16,YE,152
2016-10-16,Tracker,143
2016-10-16,DDG-Android-3.0.14,139
2016-10-16,Netscape,131
2016-10-16,AdobeAIR,101
2016-10-17,Chrome,13534911
2016-10-17,Safari,6490384
2016-10-17,Internet Explorer,5468885
2016-10-17,Firefox,2365697
2016-10-17,Edge,1016510
2016-10-17,Safari (in-app),441278
2016-10-17,Android Browser,174417
2016-10-17,Opera,155441
2016-10-17,Amazon Silk,74433
2016-10-17,Opera Mini,72967
2016-10-17,UC Browser,45778
2016-10-17,YaBrowser,14967
2016-10-17,BlackBerry,14678
2016-10-17,ELB-HealthChecker,8998
2016-10-17,Maxthon,5715
2016-10-17,Mozilla Compatible Agent,5365
2016-10-17,Coc Coc,4546
2016-10-17,SeaMonkey,2902
2016-10-17,Iron,2319
2016-10-17,Uzbl,1319
2016-10-17,MRCHROME,1093
2016-10-17,IE with Chrome Frame,997
2016-10-17,Nokia Browser,848
2016-10-17,Mozilla,573
2016-10-17,pa11y,440
2016-10-17,Nintendo Browser,419
2016-10-17,Nichrome,400
2016-10-17,NetFront,304
2016-10-17,Playstation 3,253
2016-10-17,YE,192
2016-10-17,Playstation Vita Browser,188
2016-10-17,Tracker,162
2016-10-17,Netscape,146
2016-10-17,DDG-Android-3.0.14,135
2016-10-17,AdobeAIR,111
2016-10-17,Caremark iPhone,110
2016-10-18,Chrome,13024911
2016-10-18,Safari,6200548
2016-10-18,Internet Explorer,5302987
2016-10-18,Firefox,2231432
2016-10-18,Edge,944851
2016-10-18,Safari (in-app),389806
2016-10-18,Android Browser,172653
2016-10-18,Opera,140727
2016-10-18,Opera Mini,73784
2016-10-18,Amazon Silk,70258
2016-10-18,UC Browser,46006
2016-10-18,BlackBerry,14836
2016-10-18,YaBrowser,14197
2016-10-18,ELB-HealthChecker,9001
2016-10-18,Maxthon,5505
2016-10-18,Mozilla Compatible Agent,4666
2016-10-18,Coc Coc,4527
2016-10-18,SeaMonkey,2448
2016-10-18,Iron,2077
2016-10-18,IE with Chrome Frame,1021
2016-10-18,MRCHROME,1011
2016-10-18,Nokia Browser,888
2016-10-18,Mozilla,469
2016-10-18,Nintendo Browser,378
2016-10-18,Nichrome,358
2016-10-18,NetFront,302
2016-10-18,Playstation 3,284
2016-10-18,Playstation Vita Browser,175
2016-10-18,YE,171
2016-10-18,Tracker,168
2016-10-18,Netscape,151
2016-10-18,DDG-Android-3.0.14,141
2016-10-18,Caremark iPhone,130
2016-10-18,Android Runtime,120
2016-10-18,Phantom Browser,103
2016-10-19,Chrome,12803254
2016-10-19,Safari,6283050
2016-10-19,Internet Explorer,5145325
2016-10-19,Firefox,2184986
2016-10-19,Edge,912933
2016-10-19,Safari (in-app),385757
2016-10-19,Android Browser,174684
2016-10-19,Opera,121500
2016-10-19,Opera Mini,71992
2016-10-19,Amazon Silk,70110
2016-10-19,UC Browser,46717
2016-10-19,BlackBerry,14828
2016-10-19,YaBrowser,13167
2016-10-19,ELB-HealthChecker,9043
2016-10-19,Maxthon,5583
2016-10-19,Mozilla Compatible Agent,4821
2016-10-19,Coc Coc,3932
2016-10-19,SeaMonkey,2357
2016-10-19,Iron,1567
2016-10-19,IE with Chrome Frame,1026
2016-10-19,MRCHROME,1003
2016-10-19,Nokia Browser,867
2016-10-19,Uzbl,699
2016-10-19,Mozilla,482
2016-10-19,Nintendo Browser,324
2016-10-19,NetFront,306
2016-10-19,Nichrome,244
2016-10-19,Playstation 3,243
2016-10-19,YE,208
2016-10-19,Tracker,184
2016-10-19,Playstation Vita Browser,181
2016-10-19,Netscape,138
2016-10-19,DDG-Android-3.0.14,137
2016-10-19,ios-app,119
2016-10-19,Caremark iPhone,113
2016-10-20,Chrome,12417415
2016-10-20,Safari,6130634
2016-10-20,Internet Explorer,4994718
2016-10-20,Firefox,2118911
2016-10-20,Edge,885517
2016-10-20,Safari (in-app),359233
2016-10-20,Android Browser,169776
2016-10-20,Opera,129802
2016-10-20,Opera Mini,69866
2016-10-20,Amazon Silk,69409
2016-10-20,UC Browser,45791
2016-10-20,BlackBerry,14861
2016-10-20,YaBrowser,13658
2016-10-20,ELB-HealthChecker,9008
2016-10-20,Maxthon,5406
2016-10-20,Mozilla Compatible Agent,4556
2016-10-20,Coc Coc,3691
2016-10-20,SeaMonkey,2484
2016-10-20,Iron,1895
2016-10-20,IE with Chrome Frame,1013
2016-10-20,MRCHROME,975
2016-10-20,Nokia Browser,865
2016-10-20,Mozilla,467
2016-10-20,NetFront,377
2016-10-20,Nintendo Browser,371
2016-10-20,Nichrome,352
2016-10-20,Playstation 3,259
2016-10-20,Playstation Vita Browser,237
2016-10-20,Tracker,182
2016-10-20,YE,175
2016-10-20,Netscape,168
2016-10-20,ios-app,138
2016-10-20,Caremark iPhone,135
2016-10-20,DDG-Android-3.0.14,112
2016-10-20,Android Runtime,106
2016-10-20,AdobeAIR,105
2016-10-21,Chrome,10892977
2016-10-21,Safari,5524943
2016-10-21,Internet Explorer,4347702
2016-10-21,Firefox,1895134
2016-10-21,Edge,777660
2016-10-21,Safari (in-app),344795
2016-10-21,Android Browser,156265
2016-10-21,Opera,125129
2016-10-21,Amazon Silk,65207
2016-10-21,Opera Mini,61766
2016-10-21,UC Browser,44389
2016-10-21,BlackBerry,13478
2016-10-21,YaBrowser,13355
2016-10-21,ELB-HealthChecker,7849
2016-10-21,Mozilla Compatible Agent,7177
2016-10-21,Maxthon,4687
2016-10-21,Coc Coc,3686
2016-10-21,SeaMonkey,2389
2016-10-21,Iron,1877
2016-10-21,MRCHROME,919
2016-10-21,IE with Chrome Frame,864
2016-10-21,Nokia Browser,863
2016-10-21,Nichrome,366
2016-10-21,Nintendo Browser,357
2016-10-21,Mozilla,354
2016-10-21,NetFront,290
2016-10-21,Playstation 3,237
2016-10-21,Netscape,190
2016-10-21,Playstation Vita Browser,172
2016-10-21,Tracker,167
2016-10-21,YE,129
2016-10-21,Caremark iPhone,126
2016-10-21,DDG-Android-3.0.14,114
2016-10-21,ios-app,112
2016-10-21,rtlappwebview,103
2016-10-22,Chrome,6662691
2016-10-22,Safari,4315582
2016-10-22,Internet Explorer,1253910
2016-10-22,Firefox,1064678
2016-10-22,Edge,535926
2016-10-22,Safari (in-app),297537
2016-10-22,Android Browser,136807
2016-10-22,Opera,108585
2016-10-22,Amazon Silk,59354
2016-10-22,Opera Mini,57545
2016-10-22,UC Browser,40176
2016-10-22,YaBrowser,12543
2016-10-22,BlackBerry,11114
2016-10-22,ELB-HealthChecker,9046
2016-10-22,Maxthon,3595
2016-10-22,Coc Coc,3344
2016-10-22,Mozilla Compatible Agent,3143
2016-10-22,SeaMonkey,1688
2016-10-22,Iron,1662
2016-10-22,MRCHROME,860
2016-10-22,Nokia Browser,779
2016-10-22,Nintendo Browser,372
2016-10-22,Nichrome,299
2016-10-22,Mozilla,268
2016-10-22,NetFront,242
2016-10-22,Playstation 3,232
2016-10-22,IE with Chrome Frame,229
2016-10-22,Playstation Vita Browser,172
2016-10-22,Tracker,138
2016-10-22,Netscape,105
2016-10-22,YE,103
2016-10-23,Chrome,6876578
2016-10-23,Safari,4114493
2016-10-23,Internet Explorer,1216398
2016-10-23,Firefox,1078122
2016-10-23,Edge,583115
2016-10-23,Safari (in-app),299142
2016-10-23,Android Browser,137816
2016-10-23,Opera,115902
2016-10-23,Opera Mini,62225
2016-10-23,Amazon Silk,58351
2016-10-23,UC Browser,42796
2016-10-23,YaBrowser,14230
2016-10-23,BlackBerry,11208
2016-10-23,ELB-HealthChecker,9292
2016-10-23,Maxthon,4197
2016-10-23,Coc Coc,3661
2016-10-23,Mozilla Compatible Agent,2987
2016-10-23,Iron,1730
2016-10-23,SeaMonkey,1655
2016-10-23,MRCHROME,937
2016-10-23,Nokia Browser,818
2016-10-23,Nichrome,327
2016-10-23,Nintendo Browser,306
2016-10-23,NetFront,260
2016-10-23,Mozilla,246
2016-10-23,IE with Chrome Frame,235
2016-10-23,Playstation 3,229
2016-10-23,Playstation Vita Browser,166
2016-10-23,Tracker,159
2016-10-23,YE,138
2016-10-23,DDG-Android-3.0.14,122
2016-10-23,Netscape,117
2016-10-24,Chrome,13079215
2016-10-24,Safari,6126521
2016-10-24,Internet Explorer,5381399
2016-10-24,Firefox,2256576
2016-10-24,Edge,961032
2016-10-24,Safari (in-app),404600
2016-10-24,Android Browser,165899
2016-10-24,Opera,131252
2016-10-24,Opera Mini,69292
2016-10-24,Amazon Silk,67895
2016-10-24,UC Browser,44907
2016-10-24,YaBrowser,14127
2016-10-24,BlackBerry,14088
2016-10-24,ELB-HealthChecker,9849
2016-10-24,Maxthon,5942
2016-10-24,Mozilla Compatible Agent,4336
2016-10-24,Coc Coc,4259
2016-10-24,SeaMonkey,2562
2016-10-24,Iron,1864
2016-10-24,IE with Chrome Frame,1036
2016-10-24,MRCHROME,975
2016-10-24,Nokia Browser,838
2016-10-24,pa11y,531
2016-10-24,Nichrome,345
2016-10-24,Nintendo Browser,345
2016-10-24,Mozilla,330
2016-10-24,NetFront,310
2016-10-24,Playstation 3,258
2016-10-24,YE,181
2016-10-24,Playstation Vita Browser,173
2016-10-24,Tracker,168
2016-10-24,DDG-Android-3.0.14,165
2016-10-24,Netscape,149
2016-10-24,Caremark iPhone,118
2016-10-24,ios-app,108
2016-10-25,Chrome,13037962
2016-10-25,Safari,6127512
2016-10-25,Internet Explorer,5340772
2016-10-25,Firefox,2216661
2016-10-25,Edge,937928
2016-10-25,Safari (in-app),410758
2016-10-25,Android Browser,165415
2016-10-25,Opera,148392
2016-10-25,Opera Mini,71333
2016-10-25,Amazon Silk,68046
2016-10-25,UC Browser,43906
2016-10-25,YaBrowser,15710
2016-10-25,BlackBerry,14208
2016-10-25,ELB-HealthChecker,9258
2016-10-25,Maxthon,5933
2016-10-25,Mozilla Compatible Agent,4370
2016-10-25,Coc Coc,4362
2016-10-25,SeaMonkey,2521
2016-10-25,Iron,2052
2016-10-25,MRCHROME,1118
2016-10-25,IE with Chrome Frame,1009
2016-10-25,Nokia Browser,899
2016-10-25,pa11y,498
2016-10-25,Nichrome,439
2016-10-25,Nintendo Browser,348
2016-10-25,Mozilla,325
2016-10-25,NetFront,303
2016-10-25,Playstation 3,231
2016-10-25,Playstation Vita Browser,197
2016-10-25,Tracker,177
2016-10-25,YE,174
2016-10-25,DDG-Android-3.0.14,172
2016-10-25,Netscape,149
2016-10-25,Emb,132
2016-10-25,Android Runtime,107
2016-10-25,Caremark iPhone,107
2016-10-26,Chrome,8912022
2016-10-26,Safari,4459876
2016-10-26,Internet Explorer,3029594
2016-10-26,Firefox,1403942
2016-10-26,Edge,640825
2016-10-26,Safari (in-app),294037
2016-10-26,Opera,177016
2016-10-26,Android Browser,120858
2016-10-26,Opera Mini,56877
2016-10-26,Amazon Silk,49862
2016-10-26,UC Browser,37193
2016-10-26,YaBrowser,17064
2016-10-26,ELB-HealthChecker,11004
2016-10-26,BlackBerry,10211
2016-10-26,Maxthon,4257
2016-10-26,Mozilla Compatible Agent,3954
2016-10-26,Coc Coc,3951
2016-10-26,pa11y,3010
2016-10-26,Iron,2794
2016-10-26,SeaMonkey,1445
2016-10-26,MRCHROME,1124
2016-10-26,Nokia Browser,792
2016-10-26,IE with Chrome Frame,613
2016-10-26,Nichrome,544
2016-10-26,NetFront,264
2016-10-26,Nintendo Browser,261
2016-10-26,Mozilla,225
2016-10-26,Tracker,189
2016-10-26,Playstation 3,173
2016-10-26,YE,143
2016-10-26,Playstation Vita Browser,141
2016-10-26,Caremark iPhone,140
2016-10-26,Netscape,119
2016-10-26,DDG-Android-3.0.14,117
2016-10-27,Chrome,12735000
2016-10-27,Safari,6158876
2016-10-27,Internet Explorer,5193602
2016-10-27,Firefox,2173242
2016-10-27,Edge,915981
2016-10-27,Safari (in-app),375460
2016-10-27,Opera,266690
2016-10-27,Android Browser,161256
2016-10-27,Amazon Silk,69729
2016-10-27,Opera Mini,66694
2016-10-27,UC Browser,40470
2016-10-27,YaBrowser,27118
2016-10-27,BlackBerry,13644
2016-10-27,ELB-HealthChecker,11202
2016-10-27,Maxthon,6173
2016-10-27,Coc Coc,5348
2016-10-27,Mozilla Compatible Agent,4582
2016-10-27,Iron,4181
2016-10-27,pa11y,3362
2016-10-27,SeaMonkey,2688
2016-10-27,MRCHROME,1648
2016-10-27,IE with Chrome Frame,964
2016-10-27,Nokia Browser,738
2016-10-27,Nichrome,665
2016-10-27,Nintendo Browser,338
2016-10-27,Mozilla,288
2016-10-27,NetFront,279
2016-10-27,Playstation 3,244
2016-10-27,Playstation Vita Browser,199
2016-10-27,Tracker,183
2016-10-27,osee2unifiedRelease,172
2016-10-27,YE,153
2016-10-27,Caremark iPhone,146
2016-10-27,Netscape,138
2016-10-27,ios-app,135
2016-10-27,DDG-Android-3.0.14,122
2016-10-27,AdobeAIR,115
2016-10-28,Chrome,10721726
2016-10-28,Safari,5417234
2016-10-28,Internet Explorer,4295290
2016-10-28,Firefox,1838309
2016-10-28,Edge,766243
2016-10-28,Safari (in-app),338900
2016-10-28,Opera,249256
2016-10-28,Android Browser,143972
2016-10-28,Amazon Silk,63048
2016-10-28,Opera Mini,56554
2016-10-28,UC Browser,35447
2016-10-28,YaBrowser,25171
2016-10-28,BlackBerry,11822
2016-10-28,ELB-HealthChecker,11211
2016-10-28,Maxthon,5007
2016-10-28,Coc Coc,4770
2016-10-28,Iron,3916
2016-10-28,Mozilla Compatible Agent,3709
2016-10-28,SeaMonkey,2356
2016-10-28,MRCHROME,1563
2016-10-28,pa11y,1514
2016-10-28,IE with Chrome Frame,860
2016-10-28,Nichrome,729
2016-10-28,Nokia Browser,684
2016-10-28,Mozilla,497
2016-10-28,NetFront,284
2016-10-28,Nintendo Browser,280
2016-10-28,Playstation 3,210
2016-10-28,Tracker,184
2016-10-28,Playstation Vita Browser,181
2016-10-28,Netscape,138
2016-10-28,YE,127
2016-10-28,DDG-Android-3.0.14,121
2016-10-28,Caremark iPhone,118
2016-10-28,osee2unifiedRelease,117
2016-10-28,ios-app,114
2016-10-28,Uzbl,102
2016-10-29,Chrome,6510758
2016-10-29,Safari,4225513
2016-10-29,Internet Explorer,1244820
2016-10-29,Firefox,1044343
2016-10-29,Edge,535465
2016-10-29,Safari (in-app),274165
2016-10-29,Opera,228839
2016-10-29,Android Browser,125791
2016-10-29,Amazon Silk,57896
2016-10-29,Opera Mini,50622
2016-10-29,UC Browser,31470
2016-10-29,YaBrowser,23834
2016-10-29,ELB-HealthChecker,11193
2016-10-29,BlackBerry,10267
2016-10-29,Coc Coc,4406
2016-10-29,Maxthon,3920
2016-10-29,Iron,3459
2016-10-29,Mozilla Compatible Agent,2861
2016-10-29,SeaMonkey,1735
2016-10-29,MRCHROME,1524
2016-10-29,Nichrome,776
2016-10-29,Nokia Browser,598
